id_transacao;id_cliente;id_loja;data_transacao ;quantidade_itens; valor_total
60;60;loja4;ter 20/10/2020;72;1148.74
61;61;loja5;seg 19/10/2020;58;285.31
62;62;loja6;dom 18/10/2020;78;842.83
63;63;loja7;sáb 17/10/2020;86;943.56
64;64;loja1;sex 16/10/2020;94;102.84
65;65;loja2;qui 15/10/2020;102;272.53
66;66;loja3;qua 14/10/2020;86;300.47
67;67;loja4;ter 13/10/2020;22;6.05
68;68;loja5;seg 12/10/2020;12;25.37
69;69;loja6;dom 11/10/2020;42;499.33
70;70;loja7;sáb 10/10/2020;98;815.27
71;71;loja1;sex 09/10/2020;85;746.56
72;72;loja2;qui 08/10/2020;50;185.98
73;73;loja3;qua 07/10/2020;91;65.41
74;74;loja4;ter 06/10/2020;25;1.94
75;75;loja5;seg 05/10/2020;18;267.08
76;76;loja6;dom 04/10/2020;77;788.58
77;77;loja7;sáb 03/10/2020;44;137.56
78;78;loja1;sex 02/10/2020;36;481.59
79;79;loja2;qui 01/10/2020;102;11.48
80;80;loja3;qua 30/09/2020;12;123.71
81;81;loja4;ter 29/09/2020;55;778.00
82;82;loja5;seg 28/09/2020;87;210.74
83;83;loja6;dom 27/09/2020;9;18.15
84;84;loja7;sáb 26/09/2020;104;43.05
85;85;loja1;sex 25/09/2020;90;55.75
86;86;loja2;qui 24/09/2020;52;712.84
87;87;loja3;qua 23/09/2020;20;34.36
88;88;loja4;ter 22/09/2020;9;4.16
89;89;loja5;seg 21/09/2020;90;1266.42
90;90;loja6;dom 20/09/2020;10;12.69
91;91;loja7;sáb 19/09/2020;19;147.16
92;92;loja1;sex 18/09/2020;30;484.12
93;93;loja2;qui 17/09/2020;32;157.77
94;94;loja3;qua 16/09/2020;116;1220.81
95;95;loja4;ter 15/09/2020;56;611.43
96;96;loja5;seg 14/09/2020;76;25.67
97;97;loja6;dom 13/09/2020;38;496.93
98;98;loja7;sáb 12/09/2020;44;257.93
99;99;loja1;sex 11/09/2020;74;1916.80
100;100;loja2;qui 10/09/2020;83;622.28
101;101;loja3;qua 09/09/2020;47;197.89
102;102;loja4;ter 08/09/2020;95;160.07
103;103;loja5;seg 07/09/2020;57;75.39
104;104;loja6;dom 06/09/2020;30;353.60
105;105;loja7;sáb 05/09/2020;11;291.28
106;106;loja1;sex 04/09/2020;71;103.28
107;107;loja2;qui 03/09/2020;51;170.99
108;108;loja3;qua 02/09/2020;15;1.57
109;109;loja4;ter 01/09/2020;33;652.58
110;110;loja5;seg 31/08/2020;116;379.36
111;111;loja6;dom 30/08/2020;29;465.69
112;112;loja7;sáb 29/08/2020;82;145.59
113;113;loja1;sex 28/08/2020;79;481.02
114;114;loja2;qui 27/08/2020;16;111.73
115;115;loja3;qua 26/08/2020;37;552.29
116;116;loja4;ter 25/08/2020;78;1362.86
117;117;loja5;seg 24/08/2020;73;74.51
118;118;loja6;dom 23/08/2020;99;492.36
119;119;loja7;sáb 22/08/2020;114;1576.70
120;120;loja1;sex 21/08/2020;82;477.57
121;121;loja2;qui 20/08/2020;89;119.51
122;122;loja3;qua 19/08/2020;58;1182.72
123;123;loja4;ter 18/08/2020;9;53.61
124;124;loja5;seg 17/08/2020;18;159.61
125;125;loja6;dom 16/08/2020;35;495.41
126;126;loja7;sáb 15/08/2020;6;51.16
127;127;loja1;sex 14/08/2020;105;37.61
128;128;loja2;qui 13/08/2020;50;145.29
129;129;loja3;qua 12/08/2020;87;389.36
130;130;loja4;ter 11/08/2020;25;122.24
131;131;loja5;seg 10/08/2020;19;6.96
132;132;loja6;dom 09/08/2020;24;80.21
133;133;loja7;sáb 08/08/2020;4;13.66
134;134;loja1;sex 07/08/2020;71;130.26
135;135;loja2;qui 06/08/2020;101;664.69
136;136;loja3;qua 05/08/2020;48;353.96
137;137;loja4;ter 04/08/2020;113;64.13
138;138;loja5;seg 03/08/2020;90;484.47
139;139;loja6;dom 02/08/2020;56;621.31
140;140;loja7;sáb 01/08/2020;59;504.73
141;141;loja1;sex 31/07/2020;116;132.65
142;142;loja2;qui 30/07/2020;6;8.52
143;143;loja3;qua 29/07/2020;47;484.17
144;144;loja4;ter 28/07/2020;30;90.08
145;145;loja5;seg 27/07/2020;28;390.07
146;146;loja6;dom 26/07/2020;101;492.05
147;147;loja7;sáb 25/07/2020;21;9.91
148;148;loja1;sex 24/07/2020;65;489.50
149;149;loja2;qui 23/07/2020;85;150.96
150;150;loja3;qua 22/07/2020;12;10.14
151;151;loja4;ter 21/07/2020;66;6.23
152;152;loja5;seg 20/07/2020;3;42.95
153;153;loja6;dom 19/07/2020;16;245.84
154;154;loja7;sáb 18/07/2020;105;1001.00
155;155;loja1;sex 17/07/2020;59;1166.66
156;156;loja2;qui 16/07/2020;109;20.38
157;157;loja3;qua 15/07/2020;47;22.48
158;158;loja4;ter 14/07/2020;83;568.35
159;159;loja5;seg 13/07/2020;23;156.88
160;160;loja6;dom 12/07/2020;31;224.94
161;161;loja7;sáb 11/07/2020;15;226.77
162;162;loja1;sex 10/07/2020;117;966.12
163;163;loja2;qui 09/07/2020;37;318.05
164;164;loja3;qua 08/07/2020;13;277.69
165;165;loja4;ter 07/07/2020;52;152.19
166;166;loja5;seg 06/07/2020;22;112.79
167;167;loja6;dom 05/07/2020;28;183.43
168;168;loja7;sáb 04/07/2020;20;333.89
169;169;loja1;sex 03/07/2020;57;1020.80
170;170;loja2;qui 02/07/2020;16;8.42
171;171;loja3;qua 01/07/2020;103;1763.41
172;172;loja4;ter 30/06/2020;92;372.45
173;173;loja5;seg 29/06/2020;29;79.17
174;174;loja6;dom 28/06/2020;10;150.18
175;175;loja7;sáb 27/06/2020;36;492.01
176;176;loja1;sex 26/06/2020;106;854.37
177;177;loja2;qui 25/06/2020;70;127.43
178;178;loja3;qua 24/06/2020;76;722.47
179;179;loja4;ter 23/06/2020;120;2236.19
180;180;loja5;seg 22/06/2020;85;2320.73
181;181;loja6;dom 21/06/2020;65;363.61
182;182;loja7;sáb 20/06/2020;13;34.27
183;183;loja1;sex 19/06/2020;17;235.49
184;184;loja2;qui 18/06/2020;9;81.52
185;185;loja3;qua 17/06/2020;115;155.97
186;186;loja4;ter 16/06/2020;36;250.17
187;187;loja5;seg 15/06/2020;20;49.37
188;188;loja6;dom 14/06/2020;42;249.25
189;189;loja7;sáb 13/06/2020;57;47.00
190;190;loja1;sex 12/06/2020;20;266.57
191;191;loja2;qui 11/06/2020;7;4.93
192;192;loja3;qua 10/06/2020;66;695.82
193;193;loja4;ter 09/06/2020;66;22.10
194;194;loja5;seg 08/06/2020;9;5.99
195;195;loja6;dom 07/06/2020;101;145.94
196;196;loja7;sáb 06/06/2020;83;15.26
197;197;loja1;sex 05/06/2020;54;701.47
198;198;loja2;qui 04/06/2020;32;95.16
199;199;loja3;qua 03/06/2020;56;74.85
200;200;loja4;ter 02/06/2020;65;391.21
201;201;loja5;seg 01/06/2020;67;67.87
202;202;loja6;dom 31/05/2020;118;28.43
203;203;loja7;sáb 30/05/2020;72;26.95
204;204;loja1;sex 29/05/2020;17;95.30
205;205;loja2;qui 28/05/2020;14;190.36
206;206;loja3;qua 27/05/2020;113;179.34
207;207;loja4;ter 26/05/2020;57;795.47
208;208;loja5;seg 25/05/2020;89;136.44
209;209;loja6;dom 24/05/2020;114;1017.15
210;210;loja7;sáb 23/05/2020;28;121.71
211;211;loja1;sex 22/05/2020;30;149.42
212;212;loja2;qui 21/05/2020;109;187.61
213;213;loja3;qua 20/05/2020;46;467.85
214;214;loja4;ter 19/05/2020;43;35.74
215;215;loja5;seg 18/05/2020;64;306.82
216;216;loja6;dom 17/05/2020;49;19.38
217;217;loja7;sáb 16/05/2020;119;1387.63
218;218;loja1;sex 15/05/2020;80;1016.50
219;219;loja2;qui 14/05/2020;12;33.37
220;220;loja3;qua 13/05/2020;16;9.34
221;221;loja4;ter 12/05/2020;76;751.81
222;222;loja5;seg 11/05/2020;59;1010.39
223;223;loja6;dom 10/05/2020;108;171.82
224;224;loja7;sáb 09/05/2020;115;862.31
225;225;loja1;sex 08/05/2020;32;9.44
226;226;loja2;qui 07/05/2020;114;887.81
227;227;loja3;qua 06/05/2020;113;80.80
228;228;loja4;ter 05/05/2020;110;1578.23
229;229;loja5;seg 04/05/2020;51;310.13
230;230;loja6;dom 03/05/2020;69;144.43
231;231;loja7;sáb 02/05/2020;53;475.56
232;232;loja1;sex 01/05/2020;94;2022.01
233;233;loja2;qui 30/04/2020;58;237.25
234;234;loja3;qua 29/04/2020;56;103.54
235;235;loja4;ter 28/04/2020;58;556.43
236;236;loja5;seg 27/04/2020;54;184.30
237;237;loja6;dom 26/04/2020;89;1210.90
238;238;loja7;sáb 25/04/2020;102;558.05
239;239;loja1;sex 24/04/2020;78;314.61
240;240;loja2;qui 23/04/2020;61;1101.35
241;241;loja3;qua 22/04/2020;23;32.62
242;242;loja4;ter 21/04/2020;103;86.05
243;243;loja5;seg 20/04/2020;105;2593.21
244;244;loja6;dom 19/04/2020;65;1413.41
245;245;loja7;sáb 18/04/2020;100;1797.00
246;246;loja1;sex 17/04/2020;28;28.53
247;247;loja2;qui 16/04/2020;26;81.35
248;248;loja3;qua 15/04/2020;103;308.71
249;249;loja4;ter 14/04/2020;8;45.22
250;250;loja5;seg 13/04/2020;90;1224.03
251;251;loja6;dom 12/04/2020;40;763.67
252;252;loja7;sáb 11/04/2020;29;397.02
253;253;loja1;sex 10/04/2020;21;76.55
254;254;loja2;qui 09/04/2020;55;516.88
255;255;loja3;qua 08/04/2020;111;550.60
256;256;loja4;ter 07/04/2020;75;438.97
257;257;loja5;seg 06/04/2020;72;431.99
258;258;loja6;dom 05/04/2020;74;76.17
259;259;loja7;sáb 04/04/2020;24;136.22
260;260;loja1;sex 03/04/2020;78;122.95
261;261;loja2;qui 02/04/2020;102;1233.53
262;262;loja3;qua 01/04/2020;7;33.36
263;263;loja4;ter 31/03/2020;39;220.16
264;264;loja5;seg 30/03/2020;89;681.81
265;265;loja6;dom 29/03/2020;99;686.67
266;266;loja7;sáb 28/03/2020;65;101.47
267;267;loja1;sex 27/03/2020;83;406.03
268;268;loja2;qui 26/03/2020;37;118.42
269;269;loja3;qua 25/03/2020;43;304.02
270;270;loja4;ter 24/03/2020;79;442.82
271;271;loja5;seg 23/03/2020;89;1920.23
272;272;loja6;dom 22/03/2020;105;51.25
273;273;loja7;sáb 21/03/2020;91;520.80
274;274;loja1;sex 20/03/2020;103;526.05
275;275;loja2;qui 19/03/2020;36;238.20
276;276;loja3;qua 18/03/2020;52;112.89
277;277;loja4;ter 17/03/2020;83;65.68
278;278;loja5;seg 16/03/2020;107;298.25
279;279;loja6;dom 15/03/2020;43;136.86
280;280;loja7;sáb 14/03/2020;118;157.86
281;281;loja1;sex 13/03/2020;72;719.93
282;282;loja2;qui 12/03/2020;83;1171.54
283;283;loja3;qua 11/03/2020;24;626.61
284;284;loja4;ter 10/03/2020;106;847.77
285;285;loja5;seg 09/03/2020;113;2728.70
286;286;loja6;dom 08/03/2020;56;783.64
287;287;loja7;sáb 07/03/2020;12;200.04
288;288;loja1;sex 06/03/2020;62;785.05
289;289;loja2;qui 05/03/2020;87;2065.03
290;290;loja3;qua 04/03/2020;92;103.22
291;291;loja4;ter 03/03/2020;53;161.67
292;292;loja5;seg 02/03/2020;40;75.24
293;293;loja6;dom 01/03/2020;58;372.35
294;294;loja7;sáb 29/02/2020;52;126.90
295;295;loja1;sex 28/02/2020;28;487.01
296;296;loja2;qui 27/02/2020;72;394.66
297;297;loja3;qua 26/02/2020;4;1.41
298;298;loja4;ter 25/02/2020;84;322.84
299;299;loja5;seg 24/02/2020;79;1487.95
300;300;loja6;dom 23/02/2020;21;181.69
301;301;loja7;sáb 22/02/2020;76;643.14
302;302;loja1;sex 21/02/2020;30;865.38
303;303;loja2;qui 20/02/2020;71;62.78
304;304;loja3;qua 19/02/2020;99;1068.28
305;305;loja4;ter 18/02/2020;42;283.07
306;306;loja5;seg 17/02/2020;22;49.13
307;307;loja6;dom 16/02/2020;19;62.25
308;308;loja7;sáb 15/02/2020;101;172.95
309;309;loja1;sex 14/02/2020;40;439.22
310;310;loja2;qui 13/02/2020;79;102.68
311;311;loja3;qua 12/02/2020;65;525.48
312;312;loja4;ter 11/02/2020;87;202.98
313;313;loja5;seg 10/02/2020;35;55.76
314;314;loja6;dom 09/02/2020;53;181.92
315;315;loja7;sáb 08/02/2020;61;286.18
316;316;loja1;sex 07/02/2020;57;619.20
317;317;loja2;qui 06/02/2020;66;19.75
318;318;loja3;qua 05/02/2020;117;2726.98
319;319;loja4;ter 04/02/2020;54;172.68
320;320;loja5;seg 03/02/2020;77;464.60
321;321;loja6;dom 02/02/2020;20;8.18
322;322;loja7;sáb 01/02/2020;36;137.24
323;323;loja1;sex 31/01/2020;37;156.62
324;324;loja2;qui 30/01/2020;49;277.60
325;325;loja3;qua 29/01/2020;76;1454.86
326;326;loja4;ter 28/01/2020;35;308.33
327;327;loja5;seg 27/01/2020;12;73.30
328;328;loja6;dom 26/01/2020;56;206.01
329;329;loja7;sáb 25/01/2020;38;68.51
330;330;loja1;sex 24/01/2020;22;108.98
331;331;loja2;qui 23/01/2020;33;253.79
332;332;loja3;qua 22/01/2020;67;1216.62
333;333;loja4;ter 21/01/2020;22;280.50
334;334;loja5;seg 20/01/2020;105;100.50
335;335;loja6;dom 19/01/2020;28;84.84
336;336;loja7;sáb 18/01/2020;17;403.76
337;337;loja1;sex 17/01/2020;31;82.99
338;338;loja2;qui 16/01/2020;17;58.14
339;339;loja3;qua 15/01/2020;120;2977.54
340;340;loja4;ter 14/01/2020;97;23.62
341;341;loja5;seg 13/01/2020;94;2321.24
342;342;loja6;dom 12/01/2020;40;444.49
343;343;loja7;sáb 11/01/2020;119;190.16
344;344;loja1;sex 10/01/2020;38;355.56
345;345;loja2;qui 09/01/2020;50;143.93
346;346;loja3;qua 08/01/2020;86;1901.04
347;347;loja4;ter 07/01/2020;56;653.77
348;348;loja5;seg 06/01/2020;22;6.66
349;349;loja6;dom 05/01/2020;80;95.24
350;350;loja7;sáb 04/01/2020;106;615.62
351;351;loja1;sex 03/01/2020;84;104.31
352;352;loja2;qui 02/01/2020;16;59.08
353;353;loja3;qua 01/01/2020;63;38.18
354;354;loja4;ter 31/12/2019;23;7.59
355;355;loja5;seg 30/12/2019;51;248.78
356;356;loja6;dom 29/12/2019;116;542.39
357;357;loja7;sáb 28/12/2019;92;309.77
358;358;loja1;sex 27/12/2019;33;589.56
359;359;loja2;qui 26/12/2019;19;378.15
360;360;loja3;qua 25/12/2019;37;119.06
361;361;loja4;ter 24/12/2019;48;189.08
362;362;loja5;seg 23/12/2019;38;298.88
363;363;loja6;dom 22/12/2019;98;373.93
364;364;loja7;sáb 21/12/2019;22;169.54
365;365;loja1;sex 20/12/2019;60;590.09
366;366;loja2;qui 19/12/2019;105;1049.97
367;367;loja3;qua 18/12/2019;97;684.08
368;368;loja4;ter 17/12/2019;93;358.28
369;369;loja5;seg 16/12/2019;7;6.28
370;370;loja6;dom 15/12/2019;68;12.63
371;371;loja7;sáb 14/12/2019;81;858.15
372;372;loja1;sex 13/12/2019;49;505.40
373;373;loja2;qui 12/12/2019;49;316.40
374;374;loja3;qua 11/12/2019;81;533.92
375;375;loja4;ter 10/12/2019;120;332.92
376;376;loja5;seg 09/12/2019;97;961.36
377;377;loja6;dom 08/12/2019;101;991.62
378;378;loja7;sáb 07/12/2019;62;48.93
379;379;loja1;sex 06/12/2019;111;434.13
380;380;loja2;qui 05/12/2019;45;753.19
381;381;loja3;qua 04/12/2019;6;32.53
382;382;loja4;ter 03/12/2019;39;345.05
383;383;loja5;seg 02/12/2019;41;108.09
384;384;loja6;dom 01/12/2019;103;168.32
385;385;loja7;sáb 30/11/2019;88;127.95
386;386;loja1;sex 29/11/2019;66;313.25
387;387;loja2;qui 28/11/2019;111;88.22
388;388;loja3;qua 27/11/2019;19;310.21
389;389;loja4;ter 26/11/2019;105;1877.90
390;390;loja5;seg 25/11/2019;65;1424.02
391;391;loja6;dom 24/11/2019;52;297.38
392;392;loja7;sáb 23/11/2019;17;282.55
393;393;loja1;sex 22/11/2019;17;10.03
394;394;loja2;qui 21/11/2019;21;38.60
395;395;loja3;qua 20/11/2019;66;113.95
396;396;loja4;ter 19/11/2019;55;4.40
397;397;loja5;seg 18/11/2019;113;2089.90
398;398;loja6;dom 17/11/2019;63;218.67
399;399;loja7;sáb 16/11/2019;72;976.06
400;400;loja1;sex 15/11/2019;51;341.04
401;401;loja2;qui 14/11/2019;39;1037.48
402;402;loja3;qua 13/11/2019;30;15.20
403;403;loja4;ter 12/11/2019;35;76.88
404;404;loja5;seg 11/11/2019;53;294.77
405;405;loja6;dom 10/11/2019;3;11.58
406;406;loja7;sáb 09/11/2019;83;1253.36
407;407;loja1;sex 08/11/2019;92;231.52
408;408;loja2;qui 07/11/2019;69;824.83
409;409;loja3;qua 06/11/2019;7;1.12
410;410;loja4;ter 05/11/2019;51;581.52
411;411;loja5;seg 04/11/2019;68;90.57
412;412;loja6;dom 03/11/2019;105;122.44
413;413;loja7;sáb 02/11/2019;54;255.68
414;414;loja1;sex 01/11/2019;72;22.03
415;415;loja2;qui 31/10/2019;31;839.77
416;416;loja3;qua 30/10/2019;26;720.62
417;417;loja4;ter 29/10/2019;35;213.10
418;418;loja5;seg 28/10/2019;40;797.42
419;419;loja6;dom 27/10/2019;98;1110.09
420;420;loja7;sáb 26/10/2019;47;528.52
421;421;loja1;sex 25/10/2019;91;117.09
422;422;loja2;qui 24/10/2019;51;1431.79
423;423;loja3;qua 23/10/2019;33;71.93
424;424;loja4;ter 22/10/2019;106;1024.14
425;425;loja5;seg 21/10/2019;90;2256.26
426;426;loja6;dom 20/10/2019;97;521.63
427;427;loja7;sáb 19/10/2019;28;83.50
428;428;loja1;sex 18/10/2019;61;411.07
429;429;loja2;qui 17/10/2019;48;1289.20
430;430;loja3;qua 16/10/2019;35;313.92
431;431;loja4;ter 15/10/2019;45;591.35
432;432;loja5;seg 14/10/2019;60;450.99
433;433;loja6;dom 13/10/2019;83;566.16
434;434;loja7;sáb 12/10/2019;117;279.95
435;435;loja1;sex 11/10/2019;35;33.48
436;436;loja2;qui 10/10/2019;24;26.68
437;437;loja3;qua 09/10/2019;47;192.62
438;438;loja4;ter 08/10/2019;25;106.59
439;439;loja5;seg 07/10/2019;20;16.90
440;440;loja6;dom 06/10/2019;108;349.38
441;441;loja7;sáb 05/10/2019;22;96.64
442;442;loja1;sex 04/10/2019;4;28.22
443;443;loja2;qui 03/10/2019;105;204.22
444;444;loja3;qua 02/10/2019;49;198.26
445;445;loja4;ter 01/10/2019;93;691.47
446;446;loja5;seg 30/09/2019;27;481.34
447;447;loja6;dom 29/09/2019;24;28.26
448;448;loja7;sáb 28/09/2019;88;424.66
449;449;loja1;sex 27/09/2019;31;18.89
450;450;loja2;qui 26/09/2019;112;2966.43
451;451;loja3;qua 25/09/2019;54;50.11
452;452;loja4;ter 24/09/2019;15;26.18
453;453;loja5;seg 23/09/2019;57;536.48
454;454;loja6;dom 22/09/2019;28;49.10
455;455;loja7;sáb 21/09/2019;49;38.46
456;456;loja1;sex 20/09/2019;116;1226.72
457;457;loja2;qui 19/09/2019;52;239.68
458;458;loja3;qua 18/09/2019;63;241.52
459;459;loja4;ter 17/09/2019;31;274.04
460;460;loja5;seg 16/09/2019;11;115.89
461;461;loja6;dom 15/09/2019;92;139.64
462;462;loja7;sáb 14/09/2019;28;33.24
463;463;loja1;sex 13/09/2019;19;244.09
464;464;loja2;qui 12/09/2019;20;168.53
465;465;loja3;qua 11/09/2019;41;21.09
466;466;loja4;ter 10/09/2019;54;782.38
467;467;loja5;seg 09/09/2019;57;726.68
468;468;loja6;dom 08/09/2019;14;110.60
469;469;loja7;sáb 07/09/2019;7;74.73
470;470;loja1;sex 06/09/2019;66;1112.44
471;471;loja2;qui 05/09/2019;45;250.21
472;472;loja3;qua 04/09/2019;61;425.61
473;473;loja4;ter 03/09/2019;66;213.90
474;474;loja5;seg 02/09/2019;64;612.98
475;475;loja6;dom 01/09/2019;28;72.58
476;476;loja7;sáb 31/08/2019;24;77.36
477;477;loja1;sex 30/08/2019;103;176.47
478;478;loja2;qui 29/08/2019;58;177.83
479;479;loja3;qua 28/08/2019;76;262.10
480;480;loja4;ter 27/08/2019;113;548.44
481;481;loja5;seg 26/08/2019;89;1701.57
482;482;loja6;dom 25/08/2019;88;125.08
483;483;loja7;sáb 24/08/2019;52;393.73
484;484;loja1;sex 23/08/2019;55;396.15
485;485;loja2;qui 22/08/2019;52;252.49
486;486;loja3;qua 21/08/2019;92;40.45
487;487;loja4;ter 20/08/2019;38;1088.85
488;488;loja5;seg 19/08/2019;84;1370.65
489;489;loja6;dom 18/08/2019;53;778.01
490;490;loja7;sáb 17/08/2019;112;1315.66
491;491;loja1;sex 16/08/2019;109;2107.05
492;492;loja2;qui 15/08/2019;11;44.80
493;493;loja3;qua 14/08/2019;45;714.75
494;494;loja4;ter 13/08/2019;57;388.39
495;495;loja5;seg 12/08/2019;114;501.72
496;496;loja6;dom 11/08/2019;97;1773.23
497;497;loja7;sáb 10/08/2019;37;51.96
498;498;loja1;sex 09/08/2019;15;7.55
499;499;loja2;qui 08/08/2019;47;633.36
500;500;loja3;qua 07/08/2019;79;91.94
501;501;loja4;ter 06/08/2019;28;157.52
502;502;loja5;seg 05/08/2019;53;1045.21
503;503;loja6;dom 04/08/2019;44;417.76
504;504;loja7;sáb 03/08/2019;14;144.79
505;505;loja1;sex 02/08/2019;33;151.74
506;506;loja2;qui 01/08/2019;29;301.16
507;507;loja3;qua 31/07/2019;91;1288.18
508;508;loja4;ter 30/07/2019;120;828.85
509;509;loja5;seg 29/07/2019;82;81.35
510;510;loja6;dom 28/07/2019;37;97.10
511;511;loja7;sáb 27/07/2019;63;1133.98
512;512;loja1;sex 26/07/2019;67;32.83
513;513;loja2;qui 25/07/2019;88;435.78
514;514;loja3;qua 24/07/2019;3;1.16
515;515;loja4;ter 23/07/2019;34;10.89
516;516;loja5;seg 22/07/2019;35;54.59
517;517;loja6;dom 21/07/2019;21;88.90
518;518;loja7;sáb 20/07/2019;68;196.18
519;519;loja1;sex 19/07/2019;36;69.12
520;520;loja2;qui 18/07/2019;41;22.92
521;521;loja3;qua 17/07/2019;36;227.98
522;522;loja4;ter 16/07/2019;98;143.80
523;523;loja5;seg 15/07/2019;120;2043.76
524;524;loja6;dom 14/07/2019;97;486.80
525;525;loja7;sáb 13/07/2019;107;440.46
526;526;loja1;sex 12/07/2019;84;715.40
527;527;loja2;qui 11/07/2019;55;592.30
528;528;loja3;qua 10/07/2019;12;73.17
529;529;loja4;ter 09/07/2019;75;780.49
530;530;loja5;seg 08/07/2019;102;930.24
531;531;loja6;dom 07/07/2019;6;18.22
532;532;loja7;sáb 06/07/2019;98;187.12
533;533;loja1;sex 05/07/2019;52;632.85
534;534;loja2;qui 04/07/2019;53;44.61
535;535;loja3;qua 03/07/2019;89;608.47
536;536;loja4;ter 02/07/2019;9;143.48
537;537;loja5;seg 01/07/2019;64;329.87
538;538;loja6;dom 30/06/2019;22;115.01
539;539;loja7;sáb 29/06/2019;68;858.18
540;540;loja1;sex 28/06/2019;97;298.99
541;541;loja2;qui 27/06/2019;76;453.25
542;542;loja3;qua 26/06/2019;85;64.15
543;543;loja4;ter 25/06/2019;13;114.48
544;544;loja5;seg 24/06/2019;105;141.09
545;545;loja6;dom 23/06/2019;32;326.47
546;546;loja7;sáb 22/06/2019;9;155.57
547;547;loja1;sex 21/06/2019;110;61.59
548;548;loja2;qui 20/06/2019;17;64.40
549;549;loja3;qua 19/06/2019;98;533.70
550;550;loja4;ter 18/06/2019;12;95.58
551;551;loja5;seg 17/06/2019;61;600.42
552;552;loja6;dom 16/06/2019;49;230.96
553;553;loja7;sáb 15/06/2019;67;303.00
554;554;loja1;sex 14/06/2019;76;179.94
555;555;loja2;qui 13/06/2019;25;179.78
556;556;loja3;qua 12/06/2019;20;11.38
557;557;loja4;ter 11/06/2019;106;410.00
558;558;loja5;seg 10/06/2019;104;203.56
559;559;loja6;dom 09/06/2019;113;1848.59
560;560;loja7;sáb 08/06/2019;116;1896.54
561;561;loja1;sex 07/06/2019;77;165.49
562;562;loja2;qui 06/06/2019;99;126.55
563;563;loja3;qua 05/06/2019;34;530.51
564;564;loja4;ter 04/06/2019;101;726.66
565;565;loja5;seg 03/06/2019;34;0.88
566;566;loja6;dom 02/06/2019;52;1205.37
567;567;loja7;sáb 01/06/2019;6;57.38
568;568;loja1;sex 31/05/2019;78;88.33
569;569;loja2;qui 30/05/2019;39;276.20
570;570;loja3;qua 29/05/2019;9;12.46
571;571;loja4;ter 28/05/2019;105;426.37
572;572;loja5;seg 27/05/2019;115;1000.15
573;573;loja6;dom 26/05/2019;14;93.10
